citing,cited,Proximity ,index,title
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A1,187,1,"B. Zhan, D. N. Monekosso, P. Remagnino, S. A. Velastin, and L.-Q. Xu, Crowd analysis: a survey, Machine Vision and Applications, no. 19, pp. 345-357, 2008."
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A2,187,2,"T. Li, H. Chang, M. Wang, B. Ni, R. Hong and S. Yan. ”Crowded Scene Analysis: A Survey,” in IEEE Transactions on Circuits and Systems for Video Technology, 25:(3):367- 386, 2015."
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A3,220,3,"B. Zhan, D. N. Monekosso, P. Remagnino, S. A. Velastin, and L.-Q. Xu, Crowd analysis: a survey, Machine Vision and Applications, no. 19, pp. 345-357, 2008."
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A4,239,4,"B. Zhan, D. N. Monekosso, P. Remagnino, S. A. Velastin, and L.-Q. Xu, Crowd analysis: a survey, Machine Vision and Applications, no. 19, pp. 345-357, 2008.Analysis and Machine Intelligence, vol. 31, no. 3, pp. 539-555, 2009"
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A5,239,5,"T. Li, H. Chang, M. Wang, B. Ni, R. Hong and S. Yan. ”Crowded Scene Analysis: A Survey,” in IEEE Transactions on Circuits and Systems for Video Technology, 25:(3):367- 386, 2015."
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A6,239,6,"J.M. Grant, and P.J. Flynn, ”Crowd Scene Understanding from Video:
A Survey”. TOMCCAP, 13, 19:1-19:23, 2017"
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A7,261,7,"X. Wang, X. Ma, and W. E. L. Grimson, Unsupervised activity perception in crowded and complicated scenes using hierarchical bayesian
models, IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 31, no. 3, pp. 539-555, 2009"
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A8,261,8," B. Zhou, X. Wang, and X. Tang, Understanding collective crowd
behaviors: Learning a mixture model of dynamic pedestrian-agents, in
IEEE Conference on Computer Vision and Pattern Recognition, pp.
2871-2878, 2012"
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A9,273,9,"R. Mehran, B. E. Moore, and M. Shah, A streakline representation of
flow in crowded scenes, in European Conference on Computer Vision,
pp. 439-452, 2010"
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A10,273,10,"] I. Rodrigues de Almeida and C. Rosito Jung. 2013. ”Change detection
in human crowds,” in Proceedings of the 2013 Conference on Graphics,
Patterns and Images (SIBGRAPI), Nina Hirata, Luciana Nedel, Claudio
Silva, and Kim Boyer (Eds.). IEEE, 63-69, 2013.
and event detection for automatic visual surveillance, Journal on Image
and Video Processing, vol. 7, pp. 1-15, 2011"
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A11,273,11,"I. Rodrigues de Almeida and C. Rosito Jung. 2013. ”Change detection
in human crowds,” in Proceedings of the 2013 Conference on Graphics,
Patterns and Images (SIBGRAPI), Nina Hirata, Luciana Nedel, Claudio
Silva, and Kim Boyer (Eds.). IEEE, 63-69, 2013"
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A12,273,12,"Direkoglu, Cem, Melike Sah and Noel E. O’Connor. Abnormal crowd
behavior detection using novel optical flow-based features. 2017 14th
IEEE International Conference on Advanced Video and Signal Based
Surveillance (AVSS): 1-6, 2017."
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A13,333,13,"R. Mehran, B. E. Moore, and M. Shah, A streakline representation of
flow in crowded scenes, in European Conference on Computer Vision,
pp. 439-452, 2010.Compt. Math., Vol. 6, No. 1, 2013"
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A14,380,14,"A. Bhattacharyya, ”On a measure of divergence between two statistical populations defined by their p"
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A15,416,15," I. Rodrigues de Almeida and C. Rosito Jung. 2013. ”Change detection
I. Rodrigues de Almeida and C. Rosito Jung. 2013. ”Change detection
in human crowds,” in Proceedings of the 2013 Conference on Graphics,
Patterns and Images (SIBGRAPI), Nina Hirata, Luciana Nedel, Claudio
Silva, and Kim Boyer (Eds.). IEEE, 63-69, 2013
and Video Processing, vol. 7, pp. 1-15, 2011"
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A16,430,16,"Direkoglu, Cem, Melike Sah and Noel E. O’Connor. Abnormal crowd
behavior detection using novel optical flow-based features. 2017 14th
IEEE International Conference on Advanced Video and Signal Based
Surveillance (AVSS): 1-6, 2017.
"
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A17,500,17,"Bruce D. Lucas and Takeo Kanade.”An iterative image registration
technique with an application to stereo vision,” in Proceedings of the
7th international joint conference on Artificial intelligence - Volume 2
(IJCAI’81), Vol. 2. Morgan Kaufmann Publishers Inc., San Francisco,
CA, USA, 674-679, 1981."
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A18,867,18,"A.P. Dempster, N.M. Laird et D.B. Rubin, ” Maximum Likelihood from
Incomplete Data via the EM Algorithm ,” Journal of the Royal Statistical
Society. Series B (Methodological), vol. 39, no 1, p. 138, 1977"
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A19,928,19,"K.V. Mardia, ” Algorithm AS 86: The von Mises Distribution Function
,” Applied Statistics, vol. 24, p. 268-272, 1975."
